商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
69da358e8c821300013930b7,信息图表统计可视化数据市场营销规划汇报PPT模板D747,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69f83e01f888bb0001f834f6,3个动态循环文字动画标题效果展示AE源文件模板Q564,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69d3cccbafbcbb0001097fdb,动态几何动态图形宣传片展示AE格式源文件模板Q511,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69d3c23f52686e0001d543db,12页漏斗3D形状信息图表可视化数据规划汇报PPT模板D735,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69d516231fd3700001637261,36页时间轴信息图表可视化数据市场营销规划汇报PPT模板D740,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69de58786ba40800013248f0,蓝色玻璃元素动态3D移动应用推广样机展示AE源文件模板Q530,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69e632e87f596c00019cad2d,动态3D移动应用宣传视频动画抽象几何图形AE源文件模板Q538,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:44,web_full,,1
69d4aa67ca15480001076b26,甘特图信息图表可视化数据市场营销规划汇报PPT模板D737,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:44,web_full,,1
69e9b328933b030001f5fd99,动态现代3D移动应用展示用于产品推广AE源文件模板Q541,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:44,web_full,,1
69d67b0d61bf4900014bfc25,动态漏光相机移动转场展示AE格式源文件模板Q516,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:44,web_full,,1
69d8dabbab6f940001f5899a,花纹玻璃效果样机PSD素材F271,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:44,web_full,,1
69dfb242db4c83000182d59b,动态3D移动应用推广用于产品样机展示AE源文件模板Q533,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:45,web_full,,1
69f859536eeaf7000155d04c,动态抽象光漩涡Logo展示片头AE源文件模板Q566,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:45,web_full,,1
69de151fcaa21f0001de37e5,白粉蓝清新现代KPI仪表盘可视化数据市场营销规划汇报PPT模板D758,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:45,web_full,,1
